Ingredient,Substitutes
active dry yeast,"fresh yeast, instant yeast, bread machine yeast"
all-purpose flour,"whole wheat flour, self-rising flour, pastry flour, cake flour, barley flour, buckwheat flour, oat flour, rice flour brown, corn flour, millet flour, s potato flour, soy flour, rice flour non-waxy, wheat germ, amaranth flour, spelt flour, kamut flour, matzo meal, potato starch, bread flour, whole wheat flour, rye flour light, rye flour medium, rye flour dark, triticale flour, barley flour, rice flour brown, buckwheat flour, corn flour, millet flour, oat flour, s potato flour, soy flour, soya flour, quinoa flour, s rice flour non-waxy, wheat germ, amaranth flour, spelt flour, kamut flour, water chestnut flour, corn starch, tapioca starch"
almond,"hazelnut, Brazil nut, cashew, pistachio nut"
apricot,"aprium, pluot, peach, nectarine"
banana,"plantain, mango"
barley flour,"wheat flour, rice flour, all-purpose flour"
basil,"oregano, chervil, tarragon, summer savory, cilantro, mint, Italian seasoning, dill leaf, thyme"
basmati rice,"popcorn rice, jasmine rice, long-grain rice, wild pecan rice"
bay leaf,"Indian bay leaf, herbes de Provence, sage, teaspoon California bay leaf, oregano, thyme, boldo leaves, juniper berries"
beet,"carrot, slicing tomato"
blackberry,"loganberry, boysenberry, mulberry, raspberry, youngberry, olallieberry, dewberry, red currant"
blueberry,"huckleberry, juneberry, red currant, raisins, dates, banana"
blueberry jam,"raspberry preserves, gooseberry preserves"
bread,"corn tortilla, flour tortilla, cheese, lettuce, sweet potato"
broccoli,"broccoflower, cauliflower, broccoli raab"
bulgur,"cracked wheat, couscous, quinoa"
burrata,mozzarella
butter,"olive oil, margarine, heavy cream, shortening, lard"
buttermilk cheese,"allons buttermilk, ricotta cheese, cream cheese"
cabbage,"bok choy, collard greens"
cake flour,pastry flour
canola oil,"corn oil, peanut oil, vegetable oil, cooking spray, grapeseed oil, sunflower oil"
carrot,"parsnip don't serve raw, jicama, daikon best raw, celery good raw or cooked, celeriac, turnip, kohlrabi, broccoli, rutabaga cooked, cauliflower, salsify"
cashew,"peanut, pine nut, almond, pecan, water chestnut"
celery,"carrot, fennel, Chinese celery, bok choy, cardoon, jicama"
celery leaves,"Bibb lettuce, Boston lettuce, parsley, celery seed, fenugreek leaves, lovage, trefoil"
chicken,"turkey, Cornish game hen, tofu"
cinnamon,"nutmeg, allspice, apple pie spice, coriander seeds"
cocoa,"carob, unsweetened chocolate"
cocoa butter,Chocolate
coffee,tea
corn oil,"canola oil, safflower oil, soybean oil, peanut oil, cooking spray"
cranberry,"lingonberry, carissa, rhubarb"
cranberry juice,"grape juice, pineapple juice, pomegranate juice"
cream,"evaporated milk, yogurt"
crema,"sour cream, créme fraîche"
cumin,"caraway seed, black cumin seeds, chili powder, coriander seeds, garlic powder, onion powder"
curcuma,saffron
currant,"gooseberry, raspberry"
currants,"raisins, golden raisin"
dates,"dried fig, raisins, dates"
dewberry,"youngberry, blackberry, raspberry, loganberry, boysenberry, olallieberry"
